rank	msaname	county_fips
87	Lakeland-Winter Haven, FL	12105
88	Des Moines-West Des Moines, IA	19049,19077,19121,19153,19181
89	Madison, WI	55021,55025,55049
90	Scranton--Wilkes-Barre, PA	42069,42079,42131
91	Youngstown-Warren-Boardman, OH-PA	39099,39155,42085
92	Augusta-Richmond County, GA-SC	13033,13073,13189,13245,45003,45037
93	Ogden-Clearfield, UT	49011,49029,49057
94	Harrisburg-Carlisle, PA	42041,42043,42099
95	Jackson, MS	28029,28049,28089,28121,28127
96	Palm Bay-Melbourne-Titusville, FL	12009
97	Provo-Orem, UT	49023,49049
98	Chattanooga, TN-GA	13047,13083,13295,47065,47115,47153
99	Lancaster, PA	42071
100	Modesto, CA	06099
101	Portland-South Portland-Biddeford, ME	23005,23023,23031
102	Durham-Chapel Hill, NC	37037,37063,37135,37145
103	Deltona-Daytona Beach-Ormond Beach, FL	12127
104	Santa Rosa-Petaluma, CA	06097
105	Winston-Salem, NC	37059,37067,37169,37197
106	Lexington-Fayette, KY	21017,21049,21067,21113,21209,21239
107	Fayetteville-Springdale-Rogers, AR-MO	05007,05087,05143,29119
108	Spokane, WA	53063
109	Lansing-East Lansing, MI	26037,26045,26065
110	Pensacola-Ferry Pass-Brent, FL	12033,12113
111	Visalia-Porterville, CA	06107
112	Springfield, MO	29043,29059,29077,29167,29225
113	York-Hanover, PA	42133
114	Corpus Christi, TX	48007,48355,48409
115	Reno-Sparks, NV	32029,32031
116	Asheville, NC	37021,37087,37089,37115
117	Port St. Lucie, FL	12085,12111
118	Santa Barbara-Santa Maria-Goleta, CA	06083
119	Huntsville, AL	01083,01089
120	Flint, MI	26049
121	Salinas, CA	06053
122	Fort Wayne, IN	18003,18179,18183
123	Vallejo-Fairfield, CA	06095
124	Brownsville-Harlingen, TX	48061
125	Reading, PA	42011
126	Mobile, AL	01097
127	Killeen-Temple-Fort Hood, TX	48027,48099,48281
128	Canton-Massillon, OH	39019,39151
129	Shreveport-Bossier City, LA	22015,22017,22031
130	Manchester-Nashua, NH	33011
131	Salem, OR	41047,41053
132	Beaumont-Port Arthur, TX	48199,48245,48361
133	Anchorage, AK	02020,02170
134	Davenport-Moline-Rock Island, IA-IL	17073,17131,17161,19163
135	Peoria, IL	17123,17143,17175,17179,17203
136	Montgomery, AL	01001,01051,01085,01101
137	Fayetteville, NC	37051,37093
138	Tallahassee, FL	12039,12065,12073,12129
139	Wilmington, NC	37019,37129,37141
140	Trenton-Ewing, NJ	34021
141	Hickory-Lenoir-Morganton, NC	37003,37023,37027,37035
142	Evansville, IN-KY	18051,18129,18163,18173,21101,21233
143	Savannah, GA	13029,13051,13103
144	Eugene-Springfield, OR	41039
145	Rockford, IL	17007,17201
146	Ann Arbor, MI	26161
147	Ocala, FL	12083
148	Kalamazoo-Portage, MI	26077,26159
149	Naples-Marco Island, FL	12021
150	South Bend-Mishawaka, IN-MI	18141,26027
151	Kingsport-Bristol-Bristol, TN-VA	47073,47163,51169,51191,51520
152	Green Bay, WI	55009,55061,55083
153	Roanoke, VA	51023,51045,51067,51161,51770,51775
154	Lincoln, NE	31109,31159
155	Fort Collins-Loveland, CO	08069
156	Charleston, WV	54005,54015,54039,54043,54079
157	Columbus, GA-AL	01113,13053,13145,13197,13215
158	Fort Smith, AR-OK	05033,05047,05131,40079,40135
159	Boulder, CO	08013
160	Utica-Rome, NY	36043,36065
161	Lubbock, TX	48107,48303
162	Huntington-Ashland, WV-KY-OH	21019,21089,39087,54011,54099
163	Spartanburg, SC	45083
164	Erie, PA	42049
165	Duluth, MN-WI	27017,27137,55031
166	Clarksville, TN-KY	21047,21221,47125,47161
167	Lafayette, LA	22055,22099
168	Myrtle Beach-North Myrtle Beach-Conway, SC	45051
169	Atlantic City-Hammonton, NJ	34001
170	Norwich-New London, CT	09011
171	San Luis Obispo-Paso Robles, CA	06079
172	Hagerstown-Martinsburg, MD-WV	24043,54003,54065
173	Gainesville, FL	12001,12041
174	Holland-Grand Haven, MI	26139
175	Santa Cruz-Watsonville, CA	06087
176	Kennewick-Pasco-Richland, WA	53005,53021
177	Cedar Rapids, IA	19011,19105,19113
178	Merced, CA	06047
179	Greeley, CO	08123
180	Olympia, WA	53067
181	Laredo, TX	48479
182	Bremerton-Silverdale, WA	53035
183	Lynchburg, VA	51009,51011,51019,51031,51515,51680
184	Amarillo, TX	48011,48065,48375,48381
185	Gulfport-Biloxi, MS	28045,28047,28131
186	Binghamton, NY	36007,36107
187	Yakima, WA	53077
188	Waco, TX	48309
189	Topeka, KS	20085,20087,20139,20177,20197
190	Macon, GA	13021,13079,13169,13207,13289
191	Sioux Falls, SD	46083,46087,46099,46125
192	Champaign-Urbana, IL	17019,17053,17147
193	College Station-Bryan, TX	48041,48051,48395
194	Appleton, WI	55015,55087
195	Tuscaloosa, AL	01063,01065,01125
196	Chico, CA	06007
197	Longview, TX	48183,48401,48459
198	Barnstable Town, MA	25001
199	Las Cruces, NM	35013
200	Tyler, TX	48423
201	Burlington-South Burlington, VT	50007,50011,50013
202	Fargo, ND-MN	27027,38017
203	Prescott, AZ	04025
204	Springfield, IL	17129,17167
205	Houma-Bayou Cane-Thibodaux, LA	22057,22109
206	Florence, SC	45031,45041
207	Medford, OR	41029
208	Charlottesville, VA	51003,51065,51079,51125,51540
209	Bellingham, WA	53073
210	Lafayette, IN	18007,18015,18157
211	Lake Havasu City-Kingman, AZ	04015
212	Yuma, AZ	04027
213	Lake Charles, LA	22019,22023
214	Johnson City, TN	47019,47171,47179
215	Saginaw-Saginaw Township North, MI	26145
216	Elkhart-Goshen, IN	18039
217	Racine, WI	55101
218	Bloomington, IN	18055,18105,18119
219	Athens-Clarke County, GA	13059,13195,13219,13221
220	Greenville, NC	37079,37147
221	St. Cloud, MN	27009,27145
222	Anderson, SC	45007
223	Rochester, MN	27039,27109,27157
224	Crestview-Fort Walton Beach-Destin, FL	12091
225	Gainesville, GA	13139
226	Kingston, NY	36111
227	Jacksonville, NC	37133
228	Redding, CA	06089
229	Monroe, LA	22073,22111
230	El Centro, CA	06025
231	Joplin, MO	29097,29145
232	Columbia, MO	29019,29089
