16940	Cheyenne, WY	56	13900
16980	Chicago, IL	17	14000
17020	Chico, CA	06	13014
17060	Chillicothe, OH	39	14184
17140	Cincinnati, OH	39	15000
17200	Claremont, NH	33	12900
17220	Clarksburg, WV	54	15628
17260	Clarksdale, MS	28	13820
17300	Clarksville, TN	47	15160
17340	Clearlake, CA	06	13945
17380	Cleveland, MS	28	14260
17420	Cleveland, TN	47	15400
17460	Cleveland, OH	39	16000
17500	Clewiston, FL	12	13000
17540	Clinton, IA	19	14430
17580	Clovis, NM	35	16420
17620	Coamo, PR	72	18719
17660	Coeur d'Alene, ID	16	16750
17700	Coffeyville, KS	20	14600
17740	Coldwater, MI	26	17020
17780	College Station, TX	48	15976
17820	Colorado Springs, CO	08	16000
17860	Columbia, MO	29	15670
17900	Columbia, SC	45	16000
17940	Columbia, TN	47	16540
17980	Columbus, GA	13	19000
18020	Columbus, IN	18	14734
18060	Columbus, MS	28	15380
18100	Columbus, NE	31	10110
18140	Columbus, OH	39	18000
18180	Concord, NH	33	14200
18220	Connersville, IN	18	14932
18260	Cookeville, TN	47	16920
18300	Coos Bay, OR	41	15250
18340	Corbin, KY	21	17362
18380	Cordele, GA	13	19616
18420	Corinth, MS	28	15700
18460	Cornelia, GA	13	19728
18500	Corning, NY	36	18256
18580	Corpus Christi, TX	48	17000
18620	Corsicana, TX	48	17060
18660	Cortland, NY	36	18388
18700	Corvallis, OR	41	15800
18740	Coshocton, OH	39	18868
18820	Crawfordsville, IN	18	15742
18860	Crescent City, CA	06	17022
18900	Crossville, TN	47	18540
18940	Crowley, LA	22	18650
18980	Cullman, AL	01	18976
19020	Culpeper, VA	51	20752
19060	Cumberland, MD	24	21325
19100	Dallas, TX	48	19000
19140	Dalton, GA	13	21380
19180	Danville, IL	17	18563
19220	Danville, KY	21	19882
19260	Danville, VA	51	21344
19300	Daphne, AL	01	19648
19340	Davenport, IA	19	19000
19380	Dayton, OH	39	21000
19460	Decatur, AL	01	20104
19500	Decatur, IL	17	18823
19540	Decatur, IN	18	17074
19580	Defiance, OH	39	21308
19620	Del Rio, TX	48	19792
19660	Deltona, FL	12	17200
19700	Deming, NM	35	20270
19740	Denver, CO	08	20000
19760	De Ridder, LA	22	20610
19780	Des Moines, IA	19	21000
19820	Detroit, MI	26	22000
19860	Dickinson, ND	38	19620
19900	Dillon, SC	45	19420
19940	Dixon, IL	17	20162
19980	Dodge City, KS	20	18250
20020	Dothan, AL	01	21184
20060	Douglas, GA	13	23872
20100	Dover, DE	10	21200
20140	Dublin, GA	13	24376
20180	DuBois, PA	42	20136
20220	Dubuque, IA	19	22395
20260	Duluth, MN	27	17000
20300	Dumas, TX	48	21556
20340	Duncan, OK	40	21900
20380	Dunn, NC	37	18320
20420	Durango, CO	08	22035
20460	Durant, OK	40	22050
20500	Durham, NC	37	19000
20540	Dyersburg, TN	47	22200
20580	Eagle Pass, TX	48	21892
20620	East Liverpool, OH	39	23730
20660	Easton, MD	24	24475
20700	East Stroudsburg, PA	42	21872 
20740	Eau Claire, WI	55	22300
20780	Edwards, CO	08	23300
20820	Effingham, IL	17	22736
20900	El Campo, TX	48	22864
20940	El Centro, CA	06	21782
20980	El Dorado, AR	05	21070
21020	Elizabeth City, NC	37	20580
21060	Elizabethtown, KY	21	24274
21120	Elk City, OK	40	23500
21140	Elkhart, IN	18	20728
21220	Elko, NV	32	22500
21260	Ellensburg, WA	53	21240
21300	Elmira, NY	36	24229
21340	El Paso, TX	48	24000
21380	Emporia, KS	20	21275
21420	Enid, OK	40	23950
21460	Enterprise, AL	01	24184
21500	Erie, PA	42	24000
21540	Escanaba, MI	26	26360
21580	Espanola, NM	35	25170
21640	Eufaula, AL	01	24568
21660	Eugene, OR	41	23850
21700	Eureka, CA	06	23042
21740	Evanston, WY	56	25620
21780	Evansville, IN	18	22000
21820	Fairbanks, AK	02	24230
21860	Fairmont, MN	27	20330
21900	Fairmont, WV	54	26452
21940	Fajardo, PR	72	27964
21980	Fallon, NV	32	24100
22020	Fargo, ND	38	25700
22060	Faribault, MN	27	20546
22100	Farmington, MO	29	23752
22140	Farmington, NM	35	25800
22180	Fayetteville, NC	37	22920
22220	Fayetteville, AR	05	23290
22260	Fergus Falls, MN	27	20906
22280	Fernley, NV	32	24900
22300	Findlay, OH	39	27048
22340	Fitzgerald, GA	13	29528
22380	Flagstaff, AZ	04	23620
22420	Flint, MI	26	29000
22500	Florence, SC	45	25810
22520	Florence, AL	01	26896
22540	Fond du Lac, WI	55	26275
22580	Forest City, NC	37	24080
22620	Forrest City, AR	05	24430
22660	Fort Collins, CO	08	27425
22700	Fort Dodge, IA	19	28515
22780	Fort Leonard Wood, MO	29	25264
22800	Fort Madison, IA	19	28605
22820	Fort Morgan, CO	08	27810
22840	Fort Payne, AL	01	27616
22860	Fort Polk South, LA	22	26757
22900	Fort Smith, AR	05	24550
22980	Fort Valley, GA	13	31096
23020	Fort Walton Beach, FL	12	24475
23060	Fort Wayne, IN	18	25000
23140	Frankfort, IN	18	25324
23180	Frankfort, KY	21	28900
23240	Fredericksburg, TX	48	27348
23300	Freeport, IL	17	27884
23340	Fremont, NE	31	17670
23380	Fremont, OH	39	28826
23420	Fresno, CA	06	27000
23460	Gadsden, AL	01	28696
23500	Gaffney, SC	45	28060
23540	Gainesville, FL	12	25175
23580	Gainesville, GA	13	31908
23620	Gainesville, TX	48	27984
23660	Galesburg, IL	17	28326
23700	Gallup, NM	35	28460
23780	Garden City, KS	20	25325
23820	Gardnerville Ranchos, NV	32	26500
23860	Georgetown, SC	45	28870
23900	Gettysburg, PA	42	28960
23940	Gillette, WY	56	31855
23980	Glasgow, KY	21	31114
24020	Glens Falls, NY	36	29333
24100	Gloversville, NY	36	29443
24140	Goldsboro, NC	37	26880
24180	Granbury, TX	48	30416
24220	Grand Forks, ND	38	32060
24260	Grand Island, NE	31	19595
24300	Grand Junction, CO	08	31660
24340	Grand Rapids, MI	26	34000
24380	Grants, NM	35	30490
24420	Grants Pass, OR	41	30550
24460	Great Bend, KS	20	28300
24500	Great Falls, MT	30	32800
24540	Greeley, CO	08	32155
24580	Green Bay, WI	55	31000
24620	Greeneville, TN	47	30980
24660	Greensboro, NC	37	28000
24700	Greensburg, IN	18	29718
24740	Greenville, MS	28	29180
24780	Greenville, NC	37	28080
24820	Greenville, OH	39	32340
24860	Greenville, SC	45	30850
24900	Greenwood, MS	28	29340
24940	Greenwood, SC	45	30895
24980	Grenada, MS	28	29460
25020	Guayama, PR	72	32221
25060	Gulfport, MS	28	29700
25100	Guymon, OK	40	31750
25180	Hagerstown, MD	24	36075
25220	Hammond, LA	22	32755
25260	Hanford, CA	06	31960
25300	Hannibal, MO	29	30214
25340	Harriman, TN	47	32520
25380	Harrisburg, IL	17	33136
25420	Harrisburg, PA	42	32800
25460	Harrison, AR	05	30460
25500	Harrisonburg, VA	51	35624
25540	Hartford, CT	09	37000
25580	Hastings, NE	31	21415
25620	Hattiesburg, MS	28	31020
25660	Havre, MT	30	35050
25700	Hays, KS	20	31100
25720	Heber, UT	49	34200
25740	Helena, MT	30	35600
25760	Helena-West Helena, AR	05	31190
25780	Henderson, NC	37	30660
25820	Hereford, TX	48	33320
25860	Hickory, NC	37	31060
25900	Hilo, HI	15	14650
25940	Hilton Head Island, SC	45	34045
25980	Hinesville, GA	13	38964
26020	Hobbs, NM	35	32520
26100	Holland, MI (part)	26	38640
26140	Homosassa Springs, FL	12	32400
26180	Honolulu, HI	15	17000
26220	Hood River, OR	41	34900
26260	Hope, AR	05	33190
26300	Hot Springs, AR	05	33400
26340	Houghton, MI	26	39360
26380	Houma, LA	22	36255
26420	Houston, TX	48	35000
26460	Hudson, NY	36	35969
26480	Humboldt, TN	47	36460
26500	Huntingdon, PA	42	36368
26540	Huntington, IN	18	35302
26580	Ashland, KY	21	02368
26620	Huntsville, AL	01	37000
26660	Huntsville, TX	48	35528
26700	Huron, SD	46	31060
26740	Hutchinson, KS	20	33625
26780	Hutchinson, MN	27	30644
26820	Idaho Falls, ID	16	39700
26860	Indiana, PA	42	36816
26900	Indianapolis city (balance), IN	18	36003
26940	Indianola, MS	28	34740
26980	Iowa City, IA	19	38595
27020	Iron Mountain, MI	26	40960
27060	Ithaca, NY	36	38077
27100	Jackson, MI	26	41420
27140	Jackson, MS	28	36000
27180	Jackson, TN	47	37640
27220	Jackson, WY	56	40120
27260	Jacksonville, FL	12	35000
27300	Jacksonville, IL	17	38115
27340	Jacksonville, NC	37	34200
27380	Jacksonville, TX	48	37216
27420	Jamestown, ND	38	40580
27460	Jamestown, NY	36	38264
27500	Janesville, WI	55	37825
27540	Jasper, IN	18	37782
27580	Jayuya, PR	72	38370
27620	Jefferson City, MO	29	37000
27660	Jennings, LA	22	38355
27700	Jesup, GA	13	42268
27740	Johnson City, TN	47	38320
27780	Johnstown, PA	42	38288
27860	Jonesboro, AR	05	35710
