19069796	New York-Northern New Jersey-Long Island, NY-NJ-PA	New York, NY
12874797	Los Angeles-Long Beach-Santa Ana, CA	Los Angeles, CA
9580567	Chicago-Naperville-Joliet, IL-IN-WI	Chicago, IL
6447615	Dallas-Fort Worth-Arlington, TX	Dallas, TX
5968252	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Philadelphia, PA
5867489	Houston-Sugar Land-Baytown, TX	Houston, TX
5547051	Miami-Fort Lauderdale-Pompano Beach, FL	Miami, FL
5476241	Washington-Arlington-Alexandria, DC-VA-MD-WV	Washington, DC
5475213	Atlanta-Sandy Springs-Marietta, GA	Atlanta, GA
4588680	Boston-Cambridge-Quincy, MA-NH	Boston, MA
4403437	Detroit-Warren-Livonia, MI	Detroit, MI
4364094	Phoenix-Mesa-Scottsdale, AZ	Phoenix, AZ
4317853	San Francisco-Oakland-Fremont, CA	San Francisco, CA
4143113	Riverside-San Bernardino-Ontario, CA	Riverside, CA
3407848	Seattle-Tacoma-Bellevue, WA	Seattle, WA
3269814	Minneapolis-St. Paul-Bloomington, MN-WI	Minneapolis, MN
3053793	San Diego-Carlsbad-San Marcos, CA	San Diego, CA
2828990	St. Louis, MO-IL	St. Louis, MO
2747272	Tampa-St. Petersburg-Clearwater, FL	Tampa, FL
2690886	Baltimore-Towson, MD	Baltimore, MD
2552195	Denver-Aurora-Broomfield, CO /1	Denver, CO
2354957	Pittsburgh, PA	Pittsburgh, PA
2241841	Portland-Vancouver-Beaverton, OR-WA	Portland, OR
2171896	Cincinnati-Middletown, OH-KY-IN	Cincinnati, OH
2127355	Sacramento--Arden-Arcade--Roseville, CA	Sacramento, CA
2091286	Cleveland-Elyria-Mentor, OH	Cleveland, OH
2082421	Orlando-Kissimmee, FL	Orlando, FL
2072128	San Antonio, TX	San Antonio, TX
2067585	Kansas City, MO-KS	Kansas City, MO
1902834	Las Vegas-Paradise, NV	Las Vegas, NV
1839700	San Jose-Sunnyvale-Santa Clara, CA	San Jose, CA
1801848	Columbus, OH	Columbus, OH
1745524	Charlotte-Gastonia-Concord, NC-SC	Charlotte, NC
1743658	Indianapolis-Carmel, IN	Indianapolis city (balance), IN
1705075	Austin-Round Rock, TX	Austin, TX
1674498	Virginia Beach-Norfolk-Newport News, VA-NC	Virginia Beach, VA
1600642	Providence-New Bedford-Fall River, RI-MA	Providence, RI
1582264	Nashville-Davidson--Murfreesboro--Franklin, TN	Nashville-Davidson (balance), TN
1559667	Milwaukee-Waukesha-West Allis, WI	Milwaukee, WI
1328144	Jacksonville, FL	Jacksonville, FL
1304926	Memphis, TN-MS-AR	Memphis, TN
1258577	Louisville/Jefferson County, KY-IN	Louisville/Jefferson County (balance), KY
1238187	Richmond, VA	Richmond, VA
1227278	Oklahoma City, OK	Oklahoma City, OK
1195998	Hartford-West Hartford-East Hartford, CT	Hartford, CT
1189981	New Orleans-Metairie-Kenner, LA	New Orleans, LA
1131070	Birmingham-Hoover, AL	Birmingham, AL
1130293	Salt Lake City, UT	Salt Lake City, UT
1125827	Raleigh-Cary, NC	Raleigh, NC
1123804	Buffalo-Niagara Falls, NY	Buffalo, NY
1035566	Rochester, NY	Rochester, NY
1020200	Tucson, AZ	Tucson, AZ
929015	Tulsa, OK	Tulsa, OK
915267	Fresno, CA	Fresno, CA
907574	Honolulu, HI	Honolulu, HI
901208	Bridgeport-Stamford-Norwalk, CT	Bridgeport, CT
857903	Albuquerque, NM	Albuquerque, NM
857592	Albany-Schenectady-Troy, NY	Albany, NY
849517	Omaha-Council Bluffs, NE-IA	Omaha, NE
848006	New Haven-Milford, CT	New Haven, CT
835063	Dayton, OH	Dayton, OH
