SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,BIRTHS2010,BIRTHS2011,BIRTHS2012,DEATHS2010,DEATHS2011,DEATHS2012,NATURALINC2010,NATURALINC2011,NATURALINC2012,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,NETMIG2010,NETMIG2011,NETMIG2012,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,RBIRTH2011,RBIRTH2012,RDEATH2011,RDEATH2012,RNATURALINC2011,RNATURALINC2012,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RDOMESTICMIG2011,RDOMESTICMIG2012,RNETMIG2011,RNETMIG2012
050,2,4,29,217,Missouri,Vernon County,21159,21159,21111,20969,20748,-48,-142,-221,58,228,239,61,228,222,-3,0,17,4,28,29,-42,-174,-264,-38,-146,-235,-7,4,-3,866,853,785,753,10.836501901,11.458158544,10.836501901,10.643143083,0,0.8150154613,1.3307984791,1.3903204928,-8.269961977,-12.65671069,-6.939163498,-11.2663902
050,2,4,29,219,Missouri,Warren County,32513,32513,32564,32588,32753,51,24,165,104,402,399,70,265,275,34,137,124,0,3,3,16,-138,40,16,-135,43,1,22,-2,317,317,317,317,12.340373281,12.212852573,8.1348231827,8.4173795932,4.2055500982,3.7954729802,0.0920923379,0.0918259592,-4.236247544,1.2243461226,-4.144155206,1.3161720818
050,2,4,29,221,Missouri,Washington County,25195,25196,25174,25107,25095,-22,-67,-12,68,309,287,67,240,253,1,69,34,0,0,0,-21,-128,-45,-21,-128,-45,-2,-8,-1,1091,1084,1083,1091,12.290925001,11.433807418,9.5463495157,10.07927971,2.7445754858,1.3545277081,0,0,-5.091386408,-1.792757261,-5.091386408,-1.792757261
050,2,4,29,223,Missouri,Wayne County,13521,13523,13523,13410,13402,0,-113,-8,36,144,134,32,188,207,4,-44,-73,0,0,0,1,-90,66,1,-90,66,-5,21,-1,133,133,133,133,10.693201649,9.9955243921,13.960568819,15.440847382,-3.26736717,-5.44532299,0,0,-6.68325103,4.9231687304,-6.68325103,4.9231687304
050,2,4,29,225,Missouri,Webster County,36202,36202,36299,36330,36351,97,31,21,132,483,518,74,317,337,58,166,181,1,6,6,36,-144,-165,37,-138,-159,2,3,-1,879,884,890,887,13.300472263,14.254069151,8.7292954605,9.2734002009,4.5711768027,4.9806689506,0.1652232579,0.1651050481,-3.96535819,-4.540388822,-3.800134932,-4.375283774
050,2,4,29,227,Missouri,Worth County,2171,2171,2154,2134,2079,-17,-20,-55,3,24,19,8,30,32,-5,-6,-13,0,0,0,-11,-17,-42,-11,-17,-42,-1,3,0,52,52,52,52,11.194029851,9.0197009257,13.992537313,15.191075243,-2.798507463,-6.171374318,0,0,-7.929104478,-19.93828626,-7.929104478,-19.93828626
050,2,4,29,229,Missouri,Wright County,18815,18815,18851,18645,18629,36,-206,-16,54,240,243,53,216,222,1,24,21,1,6,6,33,-248,-40,34,-242,-34,1,12,-3,195,195,195,195,12.801365479,13.03857917,11.521228931,11.911788378,1.2801365479,1.1267907925,0.320034137,0.3219402264,-13.22807766,-2.146268176,-12.90804352,-1.82432795
050,2,4,29,510,Missouri,St. Louis city,319294,319294,319102,318563,318172,-192,-539,-391,1222,4810,4789,701,3006,3011,521,1804,1778,247,1013,1062,-929,-3502,-3235,-682,-2489,-2173,-31,146,4,11978,11982,11968,11979,15.086291391,15.042364563,9.4281480088,9.4576236582,5.6581433825,5.5847409048,3.1772168772,3.335767627,-10.98382379,-10.16121306,-7.806606917,-6.825445436
040,4,8,30,000,Montana,Montana,989415,989417,990735,997667,1005141,1318,6932,7474,3037,11848,11855,2146,8727,8763,891,3121,3092,125,384,627,338,3227,3746,463,3611,4373,-36,200,9,28849,28849,28799,28855,11.917107305,11.838378916,8.7779030598,8.7507139975,3.1392042454,3.0876649185,0.3862398046,0.6261209262,3.2458225248,3.7407479898,3.6320623294,4.366868916
050,4,8,30,001,Montana,Beaverhead County,9246,9246,9239,9191,9346,-7,-48,155,23,93,96,24,80,85,-1,13,11,1,7,8,-5,-82,136,-4,-75,144,-2,14,0,444,444,427,427,10.092240912,10.357663052,8.6814975583,9.1708474942,1.4107433532,1.1868155581,0.7596310364,0.8631385877,-8.898534997,14.673355991,-8.138903961,15.536494578
